Year,State,Group,Turnout
2020,Florida,Young,0.5321429588306893
2022,Florida,Overall,0.48
2022,Florida,Hispanic,0.3938767943813383
2022,Florida,Young,0.2405205111476887
2010,Georgia,Overall,0.41
2010,Georgia,Hispanic,0.2246660065705362
2010,Georgia,Young,0.19608886950621618
2012,Georgia,Overall,0.59
2012,Georgia,Hispanic,0.4561288204276911
2012,Georgia,Young,0.38392980689427364
2014,Georgia,Overall,0.39
2014,Georgia,Hispanic,0.2693931164083358
2014,Georgia,Young,0.20219452956300385
2016,Georgia,Overall,0.6
2016,Georgia,Hispanic,0.4769813309419804
2016,Georgia,Young,0.43296100163760814
2018,Georgia,Overall,0.54
2018,Georgia,Hispanic,0.36969826082494317
2018,Georgia,Young,0.35468737029477737
2020,Georgia,Overall,0.67
2020,Georgia,Hispanic,0.44805474195382844
2020,Georgia,Young,0.5367532984223251
2022,Georgia,Overall,0.52
2022,Georgia,Hispanic,0.3779990647520264
2022,Georgia,Young,0.3344828307149868
2010,Hawaii,Overall,0.4
2010,Hawaii,Hispanic,0.3310215801537421
2010,Hawaii,Young,0.20326426958391133
2012,Hawaii,Overall,0.44
2012,Hawaii,Hispanic,0.29739746632229236
2012,Hawaii,Young,0.2219244608793324
2014,Hawaii,Overall,0.37
2014,Hawaii,Hispanic,0.30091055886414836
2014,Hawaii,Young,0.07713339496284866
2016,Hawaii,Overall,0.43
2016,Hawaii,Hispanic,0.4388650497999316
2016,Hawaii,Young,0.19772735017165471
2018,Hawaii,Overall,0.39
2018,Hawaii,Hispanic,0.2736142757293848
2018,Hawaii,Young,0.2119049421733965
2020,Hawaii,Overall,0.55
2020,Hawaii,Hispanic,0.38675336265003063
2020,Hawaii,Young,0.37986530635596505
2022,Hawaii,Overall,0.4
2022,Hawaii,Hispanic,0.26881542753490373
2022,Hawaii,Young,0.2500159099711997
2010,Idaho,Overall,0.43
2010,Idaho,Hispanic,0.13259018410461484
2010,Idaho,Young,0.19169754788154694
2012,Idaho,Overall,0.61
2012,Idaho,Hispanic,0.3782263920565219
2012,Idaho,Young,0.3046361423131446
2014,Idaho,Overall,0.4
2014,Idaho,Hispanic,0.16865470422129422
2014,Idaho,Young,0.11943566655261471
2016,Idaho,Overall,0.61
2016,Idaho,Hispanic,0.4214072692301808
2016,Idaho,Young,0.4356829851423369
2018,Idaho,Overall,0.5
2018,Idaho,Hispanic,0.2490992248512478
2018,Idaho,Young,0.22311146081484842
2020,Idaho,Overall,0.65
2020,Idaho,Hispanic,0.46359622111034415
2020,Idaho,Young,0.5392354037555772
2022,Idaho,Overall,0.43
2022,Idaho,Hispanic,0.19708931122300122
2022,Idaho,Young,0.2091088647088182
2010,Illinois,Overall,0.43
2010,Illinois,Hispanic,0.3045630628660968
2010,Illinois,Young,0.19438499401497042
2012,Illinois,Overall,0.59
2012,Illinois,Hispanic,0.36770360518790024
2012,Illinois,Young,0.3387680934819279
2014,Illinois,Overall,0.41
2014,Illinois,Hispanic,0.24015985228394746
2014,Illinois,Young,0.1471459359694507
2016,Illinois,Overall,0.63
2016,Illinois,Hispanic,0.48572607559221215
2016,Illinois,Young,0.4626559514560726
2018,Illinois,Overall,0.51
2018,Illinois,Hispanic,0.3209451352595872
2018,Illinois,Young,0.2972563820738393
