age_cluster,is_in_poverty,YEAR,vep_in_group,voters_in_group,turnout,total_vep,total_voters,pct_of_ve_population,pct_of_electorate,vri
18-29,FALSE,2024,36290516.75471842,18558828.475668523,51.139609284443544,202787430.60999998,131661945.9817801,17.895841298227307,14.095818147968714,-21.23411292563825
18-29,TRUE,1994,5677936.633640333,896477.5539474702,15.788791101261474,166151414.3345,80964863.55177622,3.4173266934757325,1.1072427156925693,-67.59915527518962
18-29,TRUE,1996,6183797.057785576,1424265.300572258,23.032212850178638,166585472.5235,88705243.30350462,3.712086632832426,1.605615685759567,-56.74627656697664
18-29,TRUE,1998,4862036.273742797,695855.0363001884,14.312008325773329,168352053.918,74475281.1135593,2.888017200022383,0.9343436183062597,-67.64757431849719
18-29,TRUE,2000,4478515.443617119,999921.1172129138,22.32706640853553,168532512.6654,92192415.03529915,2.657359919927525,1.0846023686764885,-59.18496547859166
18-29,TRUE,2002,4165456.037150162,590371.4042210976,14.173031691027186,172453814.1876,76801138.76934169,2.415403832482861,0.7687013678197808,-68.17503733818243
18-29,TRUE,2004,5107069.703162886,1527141.9066994141,29.902507611236086,175654284.0783,102370884.47294457,2.907455249361495,1.4917736762380127,-48.69143122441453
18-29,TRUE,2006,4821245.6624776265,755676.3674034724,15.673882235138631,176961365.7732,86017980.12858626,2.724462281025061,0.8785097793203578,-67.75474612223942
18-29,TRUE,2008,5256300.376473238,1831691.741837945,34.8475469559625,177691362.5187,105878714.0095248,2.9581068555991696,1.7299905452886088,-41.51696913808084
18-29,TRUE,2010,6929756.545859264,1020605.2029452638,14.727865202639851,177092471.2646,80258522.78246115,3.9130723606568654,1.2716471317464817,-67.50259094281054
18-29,TRUE,2012,6982765.311652929,2271345.561082243,32.52788057034929,187479715.3831,113304440.7675453,3.724544437985837,2.004639487822125,-46.177592422385054
18-29,TRUE,2014,6979066.569738972,833904.756341833,11.948657431605819,185283024.8897,76485002.17658542,3.76670586735814,1.090285327333257,-71.0546730823463
18-29,TRUE,2016,6383638.232055562,1992329.5521259096,31.2099382781654,191396744.7678,114793543.56918722,3.3352909109296016,1.7355763139458384,-47.9632703624613
18-29,TRUE,2018,5312370.787784113,1231172.5859471415,23.175577065860008,188389284.1447,97968316.8097458,2.819890107817243,1.2567048470763005,-55.434261654647884
18-29,TRUE,2020,5436378.558588758,1810690.7423225716,33.30692891983985,195188683.83269998,130406293.93307385,2.785191462865943,1.3884995023720563,-50.14707172255585
18-29,TRUE,2022,4249710.275736235,618116.1719983149,14.54490146134092,194992342.1462,94181927.6824724,2.1794241912074255,0.6563001917759097,-69.88653267116797
18-29,TRUE,2024,5065168.16807413,1504933.8363402332,29.71142884901365,202787430.60999998,131661945.9817801,2.497772249906081,1.1430287051571393,-54.238073339147775
30-44,FALSE,1994,47003638.0386426,23056163.87860692,49.05187096294972,166151414.3345,80964863.55177622,28.28964064309061,28.476752590168616,0.6614150721766234
30-44,FALSE,1996,45259691.25045501,24491462.50472258,54.11318952485422,166585472.5235,88705243.30350462,27.169050556956748,27.60993780370473,1.6227554430866664
30-44,FALSE,1998,44778630.76958536,18967743.624164913,42.3589183013792,168352053.918,74475281.1135593,26.598208769936296,25.46850893418321,-4.247277873200153
