YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2020,Wyoming,WY,278503,,448142,0.03,2034,2822,954,6733,430161,0.65,0.62
2018,Alabama,AL,"1,721,906","1,719,589","3,802,178",0.02,"25,907","29,068","10,266","65,241","3,649,487",0.47,0.45
2018,Alaska,AK,"285,009","283,134","552,149",0.04,"4,295","1,182","1,348","6,825","525,944",0.54,0.52
2018,Arizona,AZ,"2,409,910","2,384,308","5,559,776",0.08,"38,571","43,801","7,536","89,908","5,032,314",0.48,0.43
2018,Arkansas,AR,"898,793","891,509","2,310,569",0.04,"17,518","20,930","24,698","63,146","2,163,318",0.42,0.39
2018,California,CA,"12,712,542","12,464,235","30,532,421",0.15,"104,730",0,0,"104,730","25,979,117",0.49,0.42
2018,Colorado,CO,"2,583,580","2,525,062","4,451,426",0.06,"18,914",0,10759,"29,673","4,162,235",0.62,0.58
2018,Connecticut,CT,"1,421,953","1,406,803","2,836,517",0.08,"13,314",0,4452,"17,766","2,603,459",0.55,0.50
2018,Delaware,DE,"365,467","362,592","764,575",0.05,"5,885","8,080",350,"14,315","711,038",0.51,0.48
2018,District of Columbia,DC,"231,482","224,658","575,793",0.08,0,0,0,0,"531,745",0.44,0.40
2018,Florida,FL,"8,318,824","8,220,561","17,097,477",0.09,"91,765","116,869","4,345","212,979","15,284,174",0.54,0.49
2018,Georgia,GA,"3,949,905","3,939,328","8,040,683",0.06,"50,963","237,559","20,426","308,948","7,254,119",0.54,0.49
2018,Hawaii,HI,"398,657","390,843","1,117,235",0.08,"5,007",0,0,"5,007","1,020,503",0.39,0.36
2018,Idaho,ID,"612,536","605,131","1,316,753",0.04,"8,378","19,603","5,267","33,248","1,230,835",0.50,0.47
2018,Illinois,IL,"4,635,541","4,570,842","9,863,329",0.08,"38,464",0,0,"38,464","9,041,717",0.51,0.47
2018,Indiana,IN,"2,308,258","2,282,565","5,137,998",0.04,"26,330",0,0,"26,330","4,924,131",0.47,0.45
2018,Iowa,IA,"1,334,279","1,327,638","2,422,272",0.03,"9,219","16,608","6,652","32,479","2,314,218",0.58,0.55
2018,Kansas,KS,"1,060,000","1,055,566","2,208,263",0.05,"9,882","9,379","5,438","24,699","2,080,438",0.51,0.48
2018,Kentucky,KY,"1,612,353","1,569,798","3,457,567",0.03,"23,280","26,771","15,881","65,932","3,304,159",0.49,0.47
2018,Louisiana,LA,"1,519,405","1,460,585","3,562,345",0.03,"32,281","19,964","29,321","81,566","3,378,184",0.45,0.43
2018,Maine,ME,"646,013","634,409","1,090,959",0.02,0,0,0,0,"1,070,013",0.60,0.59
2018,Maryland,MD,"2,335,128","2,304,512","4,701,240",0.08,18181,0,0,"18,181","4,303,669",0.54,0.50
2018,Massachusetts,MA,"2,752,665","2,707,090","5,525,134",0.09,"7,772",0,0,"7,772","5,024,520",0.55,0.50
2018,Michigan,MI,"4,341,340","4,250,585","7,828,901",0.03,"38,218",0,0,"38,218","7,534,678",0.58,0.55
2018,Minnesota,MN,"2,611,365","2,596,879","4,314,700",0.04,"9,717","57,043","7,381","74,141","4,067,108",0.64,0.61
2018,Mississippi,MS,"961,025","936,215","2,275,427",0.01,"19,258","15,558","9,866","44,682","2,198,889",0.44,0.42
