pct_name,pct_id,pct_num,reg_vot,DEM,RFK,LIB,ASP,GRN,CON,REP,AUR,YES,NO,total_pres,total_rcv,prop_dem,prop_rep,prop_rfk,prop_yes,prop_no,exception
02-785 Yakutat,02-785,25,499,117,5,6,2,0,0,92,1,84,121,223,205,0.5246636771300448,0.4125560538116592,0.02242152466367713,0.4097560975609756,0.5902439024390244,FALSE
03-300 Auke Bay,03-300,26,2070,259,14,8,0,7,0,191,1,163,311,480,474,0.5395833333333333,0.39791666666666664,0.029166666666666667,0.3438818565400844,0.6561181434599156,FALSE
03-305 Lynn Canal,03-305,27,1426,225,7,4,0,5,1,183,0,161,261,425,422,0.5294117647058824,0.43058823529411766,0.01647058823529412,0.3815165876777251,0.6184834123222749,FALSE
03-310 Melvin Park,03-310,28,2350,259,16,10,0,7,2,273,2,206,350,569,556,0.45518453427065025,0.4797891036906854,0.028119507908611598,0.37050359712230213,0.6294964028776978,FALSE
03-315 Mendenhall Glacier,03-315,29,3379,400,19,13,3,3,1,477,3,391,512,919,903,0.4352557127312296,0.5190424374319913,0.020674646354733407,0.4330011074197121,0.5669988925802879,FALSE
03-320 Thunder Mountain,03-320,30,3568,361,13,9,4,5,0,404,3,299,473,799,772,0.4518147684605757,0.5056320400500626,0.016270337922403004,0.3873056994818653,0.6126943005181347,FALSE
03-325 Gustavus,03-325,31,579,104,1,4,0,4,1,75,0,63,117,189,180,0.5502645502645502,0.3968253968253968,0.005291005291005291,0.35,0.65,FALSE
03-330 Haines No. 1,03-330,32,2148,283,13,15,1,10,1,316,3,266,354,642,620,0.440809968847352,0.49221183800623053,0.020249221183800622,0.4290322580645161,0.5709677419354838,FALSE
03-335 Haines No. 2,03-335,33,317,46,1,1,1,4,0,55,1,40,63,109,103,0.42201834862385323,0.5045871559633027,0.009174311926605505,0.3883495145631068,0.6116504854368932,FALSE
03-340 Klukwan,03-340,34,71,26,0,1,0,4,0,10,0,7,32,41,39,0.6341463414634146,0.24390243902439024,0,0.1794871794871795,0.8205128205128205,FALSE
03-345 Skagway,03-345,35,1227,260,9,9,1,3,1,124,4,110,274,411,384,0.6326034063260341,0.30170316301703165,0.021897810218978103,0.2864583333333333,0.7135416666666666,FALSE
04-100 Douglas,04-100,36,1789,382,9,2,1,10,1,121,1,104,406,527,510,0.7248576850094877,0.22960151802656548,0.017077798861480076,0.20392156862745098,0.796078431372549,FALSE
04-105 Juneau Airport Area,04-105,37,1593,121,7,3,2,1,0,163,0,109,162,297,271,0.4074074074074074,0.5488215488215489,0.02356902356902357,0.4022140221402214,0.5977859778597786,FALSE
