pct_name,pct_id,pct_num,reg_vot,cand_name,cand_party,votes
02-755 Petersburg-Kupreanof,02-755,19,3031,West/Abdullah,AUR,2
02-755 Petersburg-Kupreanof,02-755,19,3031,YES,YES,440
02-755 Petersburg-Kupreanof,02-755,19,3031,NO,NO,360
02-760 Port Alexander,02-760,20,47,Harris/Walz,DEM,5
02-760 Port Alexander,02-760,20,47,Kennedy/Shanahan,RFK,0
02-760 Port Alexander,02-760,20,47,Oliver/Maat,LIB,0
02-760 Port Alexander,02-760,20,47,Sonski/Onak,ASP,0
02-760 Port Alexander,02-760,20,47,Stein/Ware,GRN,0
02-760 Port Alexander,02-760,20,47,Terry/Broden,CON,0
02-760 Port Alexander,02-760,20,47,Trump/Vance,REP,6
02-760 Port Alexander,02-760,20,47,West/Abdullah,AUR,0
02-760 Port Alexander,02-760,20,47,YES,YES,6
02-760 Port Alexander,02-760,20,47,NO,NO,4
02-765 Sitka No. 1,02-765,21,3669,Harris/Walz,DEM,436
02-765 Sitka No. 1,02-765,21,3669,Kennedy/Shanahan,RFK,23
02-765 Sitka No. 1,02-765,21,3669,Oliver/Maat,LIB,10
02-765 Sitka No. 1,02-765,21,3669,Sonski/Onak,ASP,2
02-765 Sitka No. 1,02-765,21,3669,Stein/Ware,GRN,9
02-765 Sitka No. 1,02-765,21,3669,Terry/Broden,CON,2
02-765 Sitka No. 1,02-765,21,3669,Trump/Vance,REP,467
02-765 Sitka No. 1,02-765,21,3669,West/Abdullah,AUR,6
02-765 Sitka No. 1,02-765,21,3669,YES,YES,411
02-765 Sitka No. 1,02-765,21,3669,NO,NO,516
02-770 Sitka No. 2,02-770,22,3840,Harris/Walz,DEM,456
02-770 Sitka No. 2,02-770,22,3840,Kennedy/Shanahan,RFK,30
02-770 Sitka No. 2,02-770,22,3840,Oliver/Maat,LIB,9
02-770 Sitka No. 2,02-770,22,3840,Sonski/Onak,ASP,2
02-770 Sitka No. 2,02-770,22,3840,Stein/Ware,GRN,11
02-770 Sitka No. 2,02-770,22,3840,Terry/Broden,CON,3
02-770 Sitka No. 2,02-770,22,3840,Trump/Vance,REP,386
02-770 Sitka No. 2,02-770,22,3840,West/Abdullah,AUR,3
02-770 Sitka No. 2,02-770,22,3840,YES,YES,302
02-770 Sitka No. 2,02-770,22,3840,NO,NO,553
02-775 Tenakee Springs,02-775,23,123,Harris/Walz,DEM,26
02-775 Tenakee Springs,02-775,23,123,Kennedy/Shanahan,RFK,2
02-775 Tenakee Springs,02-775,23,123,Oliver/Maat,LIB,0
02-775 Tenakee Springs,02-775,23,123,Sonski/Onak,ASP,0
02-775 Tenakee Springs,02-775,23,123,Stein/Ware,GRN,1
02-775 Tenakee Springs,02-775,23,123,Terry/Broden,CON,0
02-775 Tenakee Springs,02-775,23,123,Trump/Vance,REP,12
02-775 Tenakee Springs,02-775,23,123,West/Abdullah,AUR,0
02-775 Tenakee Springs,02-775,23,123,YES,YES,15
02-775 Tenakee Springs,02-775,23,123,NO,NO,27
02-780 Thorne Bay,02-780,24,564,Harris/Walz,DEM,28
02-780 Thorne Bay,02-780,24,564,Kennedy/Shanahan,RFK,3
02-780 Thorne Bay,02-780,24,564,Oliver/Maat,LIB,3
02-780 Thorne Bay,02-780,24,564,Sonski/Onak,ASP,0
02-780 Thorne Bay,02-780,24,564,Stein/Ware,GRN,0
02-780 Thorne Bay,02-780,24,564,Terry/Broden,CON,0
02-780 Thorne Bay,02-780,24,564,Trump/Vance,REP,155
02-780 Thorne Bay,02-780,24,564,West/Abdullah,AUR,1
02-780 Thorne Bay,02-780,24,564,YES,YES,137
02-780 Thorne Bay,02-780,24,564,NO,NO,47
02-785 Yakutat,02-785,25,499,Harris/Walz,DEM,117
02-785 Yakutat,02-785,25,499,Kennedy/Shanahan,RFK,5
02-785 Yakutat,02-785,25,499,Oliver/Maat,LIB,6
02-785 Yakutat,02-785,25,499,Sonski/Onak,ASP,2
02-785 Yakutat,02-785,25,499,Stein/Ware,GRN,0
02-785 Yakutat,02-785,25,499,Terry/Broden,CON,0
02-785 Yakutat,02-785,25,499,Trump/Vance,REP,92
02-785 Yakutat,02-785,25,499,West/Abdullah,AUR,1
02-785 Yakutat,02-785,25,499,YES,YES,84
02-785 Yakutat,02-785,25,499,NO,NO,121
03-300 Auke Bay,03-300,26,2070,Harris/Walz,DEM,259
03-300 Auke Bay,03-300,26,2070,Kennedy/Shanahan,RFK,14
03-300 Auke Bay,03-300,26,2070,Oliver/Maat,LIB,8
03-300 Auke Bay,03-300,26,2070,Sonski/Onak,ASP,0
03-300 Auke Bay,03-300,26,2070,Stein/Ware,GRN,7
03-300 Auke Bay,03-300,26,2070,Terry/Broden,CON,0
03-300 Auke Bay,03-300,26,2070,Trump/Vance,REP,191
03-300 Auke Bay,03-300,26,2070,West/Abdullah,AUR,1
03-300 Auke Bay,03-300,26,2070,YES,YES,163
03-300 Auke Bay,03-300,26,2070,NO,NO,311
03-305 Lynn Canal,03-305,27,1426,Harris/Walz,DEM,225
03-305 Lynn Canal,03-305,27,1426,Kennedy/Shanahan,RFK,7
03-305 Lynn Canal,03-305,27,1426,Oliver/Maat,LIB,4
03-305 Lynn Canal,03-305,27,1426,Sonski/Onak,ASP,0
03-305 Lynn Canal,03-305,27,1426,Stein/Ware,GRN,5
03-305 Lynn Canal,03-305,27,1426,Terry/Broden,CON,1
03-305 Lynn Canal,03-305,27,1426,Trump/Vance,REP,183
03-305 Lynn Canal,03-305,27,1426,West/Abdullah,AUR,0
